year,state,state_po,office,totalvotes
1976,ALABAMA,AL,US PRESIDENT,1182850
1976,ALASKA,AK,US PRESIDENT,123574
1976,ARIZONA,AZ,US PRESIDENT,742719
1976,ARKANSAS,AR,US PRESIDENT,767535
1976,CALIFORNIA,CA,US PRESIDENT,7803770
1976,COLORADO,CO,US PRESIDENT,1081440
1976,CONNECTICUT,CT,US PRESIDENT,1386355
1976,DELAWARE,DE,US PRESIDENT,235642
1976,DISTRICT OF COLUMBIA,DC,US PRESIDENT,168830
1976,FLORIDA,FL,US PRESIDENT,3150631
1976,GEORGIA,GA,US PRESIDENT,1463152
1976,HAWAII,HI,US PRESIDENT,291301
1976,IDAHO,ID,US PRESIDENT,340932
1976,ILLINOIS,IL,US PRESIDENT,4721282
1976,INDIANA,IN,US PRESIDENT,2220362
1976,IOWA,IA,US PRESIDENT,1279303
1976,KANSAS,KS,US PRESIDENT,957845
1976,KENTUCKY,KY,US PRESIDENT,1167142
1976,LOUISIANA,LA,US PRESIDENT,1277383
1976,MAINE,ME,US PRESIDENT,482968
1976,MARYLAND,MD,US PRESIDENT,1432273
1976,MASSACHUSETTS,MA,US PRESIDENT,2547558
1976,MICHIGAN,MI,US PRESIDENT,3651590
1976,MINNESOTA,MN,US PRESIDENT,1949931
1976,MISSISSIPPI,MS,US PRESIDENT,768390
1976,MISSOURI,MO,US PRESIDENT,1953600
1976,MONTANA,MT,US PRESIDENT,328734
1976,NEBRASKA,NE,US PRESIDENT,606749
1976,NEVADA,NV,US PRESIDENT,201876
1976,NEW HAMPSHIRE,NH,US PRESIDENT,339627
1976,NEW JERSEY,NJ,US PRESIDENT,3014472
1976,NEW MEXICO,NM,US PRESIDENT,416590
1976,NEW YORK,NY,US PRESIDENT,6668262
1976,NORTH CAROLINA,NC,US PRESIDENT,1677906
1976,NORTH DAKOTA,ND,US PRESIDENT,297308
1976,OHIO,OH,US PRESIDENT,4110456
1976,OKLAHOMA,OK,US PRESIDENT,1092251
1976,OREGON,OR,US PRESIDENT,1029876
1976,PENNSYLVANIA,PA,US PRESIDENT,4620787
1976,RHODE ISLAND,RI,US PRESIDENT,410584
1976,SOUTH CAROLINA,SC,US PRESIDENT,802583
1976,SOUTH DAKOTA,SD,US PRESIDENT,300678
1976,TENNESSEE,TN,US PRESIDENT,1476346
1976,TEXAS,TX,US PRESIDENT,4071884
1976,UTAH,UT,US PRESIDENT,541218
1976,VERMONT,VT,US PRESIDENT,183902
1976,VIRGINIA,VA,US PRESIDENT,1697094
1976,WASHINGTON,WA,US PRESIDENT,1555534
1976,WEST VIRGINIA,WV,US PRESIDENT,750590
1976,WISCONSIN,WI,US PRESIDENT,2101336
1976,WYOMING,WY,US PRESIDENT,156343
1980,ALABAMA,AL,US PRESIDENT,1341929
1980,ALASKA,AK,US PRESIDENT,158445
1980,ARIZONA,AZ,US PRESIDENT,873945
1980,ARKANSAS,AR,US PRESIDENT,837582
1980,CALIFORNIA,CA,US PRESIDENT,8582938
1980,COLORADO,CO,US PRESIDENT,1184450
1980,CONNECTICUT,CT,US PRESIDENT,1406285
1980,DELAWARE,DE,US PRESIDENT,235668
1980,DISTRICT OF COLUMBIA,DC,US PRESIDENT,173889
1980,FLORIDA,FL,US PRESIDENT,3686927
1980,GEORGIA,GA,US PRESIDENT,1596805
1980,HAWAII,HI,US PRESIDENT,303287
1980,IDAHO,ID,US PRESIDENT,437431
1980,ILLINOIS,IL,US PRESIDENT,4749721
1980,INDIANA,IN,US PRESIDENT,2242033
1980,IOWA,IA,US PRESIDENT,1317661
1980,KANSAS,KS,US PRESIDENT,979795
1980,KENTUCKY,KY,US PRESIDENT,1295627
1980,LOUISIANA,LA,US PRESIDENT,1548591
1980,MAINE,ME,US PRESIDENT,523011
1980,MARYLAND,MD,US PRESIDENT,1540496
1980,MASSACHUSETTS,MA,US PRESIDENT,2524090
1980,MICHIGAN,MI,US PRESIDENT,3909725
1980,MINNESOTA,MN,US PRESIDENT,2051916
1980,MISSISSIPPI,MS,US PRESIDENT,891750
1980,MISSOURI,MO,US PRESIDENT,2099824
1980,MONTANA,MT,US PRESIDENT,363952
1980,NEBRASKA,NE,US PRESIDENT,639533
1980,NEVADA,NV,US PRESIDENT,243692
1980,NEW HAMPSHIRE,NH,US PRESIDENT,383990
1980,NEW JERSEY,NJ,US PRESIDENT,2975684
1980,NEW MEXICO,NM,US PRESIDENT,456237
1980,NEW YORK,NY,US PRESIDENT,6201959
1980,NORTH CAROLINA,NC,US PRESIDENT,1855833
1980,NORTH DAKOTA,ND,US PRESIDENT,301116
1980,OHIO,OH,US PRESIDENT,4283603
1980,OKLAHOMA,OK,US PRESIDENT,1149708
1980,OREGON,OR,US PRESIDENT,1181516
1980,PENNSYLVANIA,PA,US PRESIDENT,4561501
1980,RHODE ISLAND,RI,US PRESIDENT,415967
1980,SOUTH CAROLINA,SC,US PRESIDENT,888258
1980,SOUTH DAKOTA,SD,US PRESIDENT,327703
1980,TENNESSEE,TN,US PRESIDENT,1617616
1980,TEXAS,TX,US PRESIDENT,4541636
1980,UTAH,UT,US PRESIDENT,604152
1980,VERMONT,VT,US PRESIDENT,213299
1980,VIRGINIA,VA,US PRESIDENT,1866032
1980,WASHINGTON,WA,US PRESIDENT,1742394
1980,WEST VIRGINIA,WV,US PRESIDENT,737715
1980,WISCONSIN,WI,US PRESIDENT,2273221
1980,WYOMING,WY,US PRESIDENT,176713
1984,ALABAMA,AL,US PRESIDENT,1441713
1984,ALASKA,AK,US PRESIDENT,207605
1984,ARIZONA,AZ,US PRESIDENT,1025897
1984,ARKANSAS,AR,US PRESIDENT,884406
1984,CALIFORNIA,CA,US PRESIDENT,9505041
1984,COLORADO,CO,US PRESIDENT,1295380
1984,CONNECTICUT,CT,US PRESIDENT,1466900
1984,DELAWARE,DE,US PRESIDENT,254572
1984,DISTRICT OF COLUMBIA,DC,US PRESIDENT,211288
1984,FLORIDA,FL,US PRESIDENT,4180051
1984,GEORGIA,GA,US PRESIDENT,1776103
1984,HAWAII,HI,US PRESIDENT,335846
1984,IDAHO,ID,US PRESIDENT,411144
1984,ILLINOIS,IL,US PRESIDENT,4819088
1984,INDIANA,IN,US PRESIDENT,2233069
1984,IOWA,IA,US PRESIDENT,1319805
1984,KANSAS,KS,US PRESIDENT,1021991
1984,KENTUCKY,KY,US PRESIDENT,1369345
1984,LOUISIANA,LA,US PRESIDENT,1706822
1984,MAINE,ME,US PRESIDENT,553144
1984,MARYLAND,MD,US PRESIDENT,1675873
1984,MASSACHUSETTS,MA,US PRESIDENT,2559383
1984,MICHIGAN,MI,US PRESIDENT,3801658
1984,MINNESOTA,MN,US PRESIDENT,2084449
1984,MISSISSIPPI,MS,US PRESIDENT,941104
1984,MISSOURI,MO,US PRESIDENT,2122771
1984,MONTANA,MT,US PRESIDENT,384377
1984,NEBRASKA,NE,US PRESIDENT,652090
1984,NEVADA,NV,US PRESIDENT,282717
1984,NEW HAMPSHIRE,NH,US PRESIDENT,388904
1984,NEW JERSEY,NJ,US PRESIDENT,3217862
1984,NEW MEXICO,NM,US PRESIDENT,514370
1984,NEW YORK,NY,US PRESIDENT,6806810
1984,NORTH CAROLINA,NC,US PRESIDENT,2175361
1984,NORTH DAKOTA,ND,US PRESIDENT,308971
1984,OHIO,OH,US PRESIDENT,4563235
1984,OKLAHOMA,OK,US PRESIDENT,1255676
1984,OREGON,OR,US PRESIDENT,1226527
1984,PENNSYLVANIA,PA,US PRESIDENT,4844903
1984,RHODE ISLAND,RI,US PRESIDENT,410489
1984,SOUTH CAROLINA,SC,US PRESIDENT,968529
1984,SOUTH DAKOTA,SD,US PRESIDENT,317867
1984,TENNESSEE,TN,US PRESIDENT,1711993
1984,TEXAS,TX,US PRESIDENT,5397571
1984,UTAH,UT,US PRESIDENT,629656
1984,VERMONT,VT,US PRESIDENT,234561
1984,VIRGINIA,VA,US PRESIDENT,2146635
1984,WASHINGTON,WA,US PRESIDENT,1874910
1984,WEST VIRGINIA,WV,US PRESIDENT,735742
1984,WISCONSIN,WI,US PRESIDENT,2211689
1984,WYOMING,WY,US PRESIDENT,188968
1988,ALABAMA,AL,US PRESIDENT,1378476
1988,ALASKA,AK,US PRESIDENT,200116
1988,ARIZONA,AZ,US PRESIDENT,1171873
1988,ARKANSAS,AR,US PRESIDENT,827738
1988,CALIFORNIA,CA,US PRESIDENT,9887065
1988,COLORADO,CO,US PRESIDENT,1372394
1988,CONNECTICUT,CT,US PRESIDENT,1443394
1988,DELAWARE,DE,US PRESIDENT,249891
1988,DISTRICT OF COLUMBIA,DC,US PRESIDENT,192877
1988,FLORIDA,FL,US PRESIDENT,4302313
1988,GEORGIA,GA,US PRESIDENT,1809672
1988,HAWAII,HI,US PRESIDENT,354461
1988,IDAHO,ID,US PRESIDENT,408968
1988,ILLINOIS,IL,US PRESIDENT,4559120
1988,INDIANA,IN,US PRESIDENT,2168621
1988,IOWA,IA,US PRESIDENT,1225614
1988,KANSAS,KS,US PRESIDENT,993044
1988,KENTUCKY,KY,US PRESIDENT,1322517
1988,LOUISIANA,LA,US PRESIDENT,1628202
1988,MAINE,ME,US PRESIDENT,555035
1988,MARYLAND,MD,US PRESIDENT,1714358
1988,MASSACHUSETTS,MA,US PRESIDENT,2632801
1988,MICHIGAN,MI,US PRESIDENT,3669163
1988,MINNESOTA,MN,US PRESIDENT,2096790
1988,MISSISSIPPI,MS,US PRESIDENT,931527
1988,MISSOURI,MO,US PRESIDENT,2093228
1988,MONTANA,MT,US PRESIDENT,365674
1988,NEBRASKA,NE,US PRESIDENT,661465
1988,NEVADA,NV,US PRESIDENT,343133
1988,NEW HAMPSHIRE,NH,US PRESIDENT,450525
1988,NEW JERSEY,NJ,US PRESIDENT,3099553
1988,NEW MEXICO,NM,US PRESIDENT,521387
1988,NEW YORK,NY,US PRESIDENT,6485683
1988,NORTH CAROLINA,NC,US PRESIDENT,2134370
1988,NORTH DAKOTA,ND,US PRESIDENT,297261
1988,OHIO,OH,US PRESIDENT,4393585
1988,OKLAHOMA,OK,US PRESIDENT,1171036
1988,OREGON,OR,US PRESIDENT,1201694
1988,PENNSYLVANIA,PA,US PRESIDENT,4536251
1988,RHODE ISLAND,RI,US PRESIDENT,404622
1988,SOUTH CAROLINA,SC,US PRESIDENT,986009
1988,SOUTH DAKOTA,SD,US PRESIDENT,312991
1988,TENNESSEE,TN,US PRESIDENT,1636250
1988,TEXAS,TX,US PRESIDENT,5427410
1988,UTAH,UT,US PRESIDENT,647008
1988,VERMONT,VT,US PRESIDENT,243328
1988,VIRGINIA,VA,US PRESIDENT,2191609
1988,WASHINGTON,WA,US PRESIDENT,1865253
1988,WEST VIRGINIA,WV,US PRESIDENT,653311
1988,WISCONSIN,WI,US PRESIDENT,2191608
1988,WYOMING,WY,US PRESIDENT,176551
1992,ALABAMA,AL,US PRESIDENT,1688060
1992,ALASKA,AK,US PRESIDENT,258506
1992,ARIZONA,AZ,US PRESIDENT,1486975
1992,ARKANSAS,AR,US PRESIDENT,950653
1992,CALIFORNIA,CA,US PRESIDENT,11131721
1992,COLORADO,CO,US PRESIDENT,1569180
1992,CONNECTICUT,CT,US PRESIDENT,1616156
1992,DELAWARE,DE,US PRESIDENT,289620
1992,DISTRICT OF COLUMBIA,DC,US PRESIDENT,227572
1992,FLORIDA,FL,US PRESIDENT,5313392
1992,GEORGIA,GA,US PRESIDENT,2321133
1992,HAWAII,HI,US PRESIDENT,372842
1992,IDAHO,ID,US PRESIDENT,482114
1992,ILLINOIS,IL,US PRESIDENT,5050157
1992,INDIANA,IN,US PRESIDENT,2305871
1992,IOWA,IA,US PRESIDENT,1354607
1992,KANSAS,KS,US PRESIDENT,1157236
1992,KENTUCKY,KY,US PRESIDENT,1492900
1992,LOUISIANA,LA,US PRESIDENT,1790017
1992,MAINE,ME,US PRESIDENT,679499
1992,MARYLAND,MD,US PRESIDENT,1984580
1992,MASSACHUSETTS,MA,US PRESIDENT,2773664
1992,MICHIGAN,MI,US PRESIDENT,4274673
1992,MINNESOTA,MN,US PRESIDENT,2347948
1992,MISSISSIPPI,MS,US PRESIDENT,981793
1992,MISSOURI,MO,US PRESIDENT,2391270
1992,MONTANA,MT,US PRESIDENT,410583
1992,NEBRASKA,NE,US PRESIDENT,737546
1992,NEVADA,NV,US PRESIDENT,506318
1992,NEW HAMPSHIRE,NH,US PRESIDENT,537215
1992,NEW JERSEY,NJ,US PRESIDENT,3343594
1992,NEW MEXICO,NM,US PRESIDENT,569986
1992,NEW YORK,NY,US PRESIDENT,7079432
1992,NORTH CAROLINA,NC,US PRESIDENT,2611850
1992,NORTH DAKOTA,ND,US PRESIDENT,308133
1992,OHIO,OH,US PRESIDENT,4939967
1992,OKLAHOMA,OK,US PRESIDENT,1390359
1992,OREGON,OR,US PRESIDENT,1462643
1992,PENNSYLVANIA,PA,US PRESIDENT,4959810
1992,RHODE ISLAND,RI,US PRESIDENT,453365
1992,SOUTH CAROLINA,SC,US PRESIDENT,1228912
1992,SOUTH DAKOTA,SD,US PRESIDENT,336254
1992,TENNESSEE,TN,US PRESIDENT,1982638
1992,TEXAS,TX,US PRESIDENT,6154018
1992,UTAH,UT,US PRESIDENT,743998
1992,VERMONT,VT,US PRESIDENT,289701
1992,VIRGINIA,VA,US PRESIDENT,2559129
1992,WASHINGTON,WA,US PRESIDENT,2287565
1992,WEST VIRGINIA,WV,US PRESIDENT,683677
1992,WISCONSIN,WI,US PRESIDENT,2531064
1992,WYOMING,WY,US PRESIDENT,199884
1996,ALABAMA,AL,US PRESIDENT,1534349
1996,ALASKA,AK,US PRESIDENT,241620
1996,ARIZONA,AZ,US PRESIDENT,1404405
1996,ARKANSAS,AR,US PRESIDENT,884262
1996,CALIFORNIA,CA,US PRESIDENT,10019469
1996,COLORADO,CO,US PRESIDENT,1510702
1996,CONNECTICUT,CT,US PRESIDENT,1392614
1996,DELAWARE,DE,US PRESIDENT,270810
1996,DISTRICT OF COLUMBIA,DC,US PRESIDENT,185726
1996,FLORIDA,FL,US PRESIDENT,5303154
1996,GEORGIA,GA,US PRESIDENT,2298899
1996,HAWAII,HI,US PRESIDENT,360120
1996,IDAHO,ID,US PRESIDENT,491711
1996,ILLINOIS,IL,US PRESIDENT,4311391
1996,INDIANA,IN,US PRESIDENT,2135431
1996,IOWA,IA,US PRESIDENT,1234075
1996,KANSAS,KS,US PRESIDENT,1074300
1996,KENTUCKY,KY,US PRESIDENT,1388708
1996,LOUISIANA,LA,US PRESIDENT,1783959
1996,MAINE,ME,US PRESIDENT,605897
1996,MARYLAND,MD,US PRESIDENT,1780870
1996,MASSACHUSETTS,MA,US PRESIDENT,2556459
1996,MICHIGAN,MI,US PRESIDENT,3848844
1996,MINNESOTA,MN,US PRESIDENT,2192492
1996,MISSISSIPPI,MS,US PRESIDENT,893857
1996,MISSOURI,MO,US PRESIDENT,2158065
1996,MONTANA,MT,US PRESIDENT,407083
1996,NEBRASKA,NE,US PRESIDENT,677415
1996,NEVADA,NV,US PRESIDENT,464279
1996,NEW HAMPSHIRE,NH,US PRESIDENT,496597
1996,NEW JERSEY,NJ,US PRESIDENT,3075860
1996,NEW MEXICO,NM,US PRESIDENT,556074
1996,NEW YORK,NY,US PRESIDENT,6439129
1996,NORTH CAROLINA,NC,US PRESIDENT,2515807
1996,NORTH DAKOTA,ND,US PRESIDENT,266411
1996,OHIO,OH,US PRESIDENT,4534434
1996,OKLAHOMA,OK,US PRESIDENT,1206713
1996,OREGON,OR,US PRESIDENT,1377760
1996,PENNSYLVANIA,PA,US PRESIDENT,4501307
1996,RHODE ISLAND,RI,US PRESIDENT,390247
1996,SOUTH CAROLINA,SC,US PRESIDENT,1150182
1996,SOUTH DAKOTA,SD,US PRESIDENT,323826
1996,TENNESSEE,TN,US PRESIDENT,1894105
1996,TEXAS,TX,US PRESIDENT,5611644
1996,UTAH,UT,US PRESIDENT,665629
1996,VERMONT,VT,US PRESIDENT,258449
1996,VIRGINIA,VA,US PRESIDENT,2416642
1996,WASHINGTON,WA,US PRESIDENT,2253837
1996,WEST VIRGINIA,WV,US PRESIDENT,636459
1996,WISCONSIN,WI,US PRESIDENT,2196169
